user_type,location_type,occupant_count,primary_energy_source,renewable_energy_used,renewable_capacity_kw,daily_energy_kwh,monthly_energy_kwh,yearly_energy_kwh,peak_usage_time,daily_bill_inr,monthly_bill_inr,yearly_bill_inr,primary_appliances,high_power_appliance_count,max_energy_appliance,max_appliance_monthly_kwh,seasonal_increase,peak_season,seasonal_appliance,energy_efficient_usage,avg_usage_hours_per_day,smart_meter_installed,optimization_awareness,target_reduction_pct,tariff_reasonability,energy_consistency
Household,Semi-Urban,7,Energy Grid,No,0,11,330,3960,Evening,₹ 55.00,"₹ 1,650.00","₹ 19,800.00","Air Conditioner, Fan, Television",3,Air Conditioner,220,Yes,Summer,Air Conditioner,No,13,No,Yes,15,₹ 5.00,Valid
Commercial Buildings,Urban,18,Hybrid,Yes-Solar panel,10,17,510,6120,Afternoon,₹ 85.00,"₹ 2,550.00","₹ 30,600.00","Air Conditioner, Lighting, Computers",4,Air Conditioner,290,Yes,Summer,Air Conditioner,Partially,11,Yes,Yes,20,₹ 5.00,Valid
Household,Urban,3,Energy Grid,Yes-Solar panel,1,6,180,2160,Evening,₹ 30.00,₹ 900.00,"₹ 10,800.00","Laptop/Computer, Fan, Refrigerator",1,Laptop/Computer,100,No,Monsoon,Laptop/Computer,Yes,7,No,Yes,10,₹ 5.00,Valid
Household,Semi-Urban,5,Hybrid,Yes-Solar panel,3,10,300,3600,Evening,₹ 50.00,"₹ 1,500.00","₹ 18,000.00","Air Conditioner, Refrigerator, Washing Machine",3,Air Conditioner,240,Yes,Summer,Air Conditioner,Partially,12,Yes,Yes,20,₹ 5.00,Valid
Household,Rural,4,Solar,Yes-Solar panel,4,8,240,2880,Morning,₹ 40.00,"₹ 1,200.00","₹ 14,400.00","Fan, Refrigerator, Kitchen Appliances",2,Refrigerator,130,No,Monsoon,Refrigerator,Yes,9,No,No,10,₹ 5.00,Valid
Household,Urban,4,Energy Grid,Yes-Solar panel,3,8,240,2880,Evening,₹ 40.00,"₹ 1,200.00","₹ 14,400.00","Air Conditioner, Fan, Refrigerator",2,Air Conditioner,180,Yes,Summer,Air Conditioner,Partially,10,No,Yes,15,₹ 5.00,Valid
Household,Semi-Urban,5,Hybrid,Yes-Solar panel,5,11,330,3960,Evening,₹ 55.00,"₹ 1,650.00","₹ 19,800.00","Air Conditioner, Washing Machine, Refrigerator",3,Air Conditioner,230,Yes,Summer,Air Conditioner,Partially,12,Yes,Yes,20,₹ 5.00,Valid
Household,Rural,3,Solar,Yes-Solar panel,2,6,180,2160,Morning,₹ 30.00,₹ 900.00,"₹ 10,800.00","Fan, Refrigerator, Television",1,Refrigerator,100,No,Monsoon,Refrigerator,Yes,7,No,No,10,₹ 5.00,Valid
Household,Urban,2,Energy Grid,Planning to Use,0,5,150,1800,Evening,₹ 25.00,₹ 750.00,"₹ 9,000.00","Laptop/Computer, Fan, Television",1,Laptop/Computer,90,No,Monsoon,Laptop/Computer,Yes,6,No,Yes,10,₹ 5.00,Valid
Household,Semi-Urban,6,Hybrid,Yes-Solar panel,5,13,390,4680,Evening,₹ 65.00,"₹ 1,950.00","₹ 23,400.00","Air Conditioner, Refrigerator, Washing Machine",3,Air Conditioner,260,Yes,Summer,Air Conditioner,Partially,14,Yes,Yes,20,₹ 5.00,Valid
Household,Rural,4,Solar,Yes-Solar panel,3,7,210,2520,Morning,₹ 35.00,"₹ 1,050.00","₹ 12,600.00","Fan, Kitchen Appliances, Refrigerator",2,Refrigerator,120,No,Monsoon,Refrigerator,Yes,8,No,No,10,₹ 5.00,Valid
Household,Urban,5,Energy Grid,Yes-Solar panel,3,9,270,3240,Evening,₹ 45.00,"₹ 1,350.00","₹ 16,200.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,140,Yes,Summer,Refrigerator,Partially,10,No,Yes,15,₹ 5.00,Valid
Agriculture,Rural,8,Energy Grid,No,0,15,450,5400,Morning,₹ 75.00,"₹ 2,250.00","₹ 27,000.00","Water Pump, Motor, Lighting",3,Water Pump,280,Yes,Summer,Industrial Equipments,No,13,No,No,20,₹ 5.00,Valid
Household,Semi-Urban,7,Energy Grid,No,0,12,360,4320,Evening,₹ 60.00,"₹ 1,800.00","₹ 21,600.00","Air Conditioner, Fan, Television",3,Air Conditioner,240,Yes,Summer,Air Conditioner,No,13,No,Yes,15,₹ 5.00,Valid
Household,Urban,3,Energy Grid,Yes-Solar panel,1,6,180,2160,Evening,₹ 30.00,₹ 900.00,"₹ 10,800.00","Laptop/Computer, Fan, Refrigerator",1,Laptop/Computer,100,No,Monsoon,Laptop/Computer,Yes,7,No,Yes,10,₹ 5.00,Valid
Household,Semi-Urban,5,Hybrid,Yes-Solar panel,3,10,300,3600,Evening,₹ 50.00,"₹ 1,500.00","₹ 18,000.00","Air Conditioner, Refrigerator, Washing Machine",3,Air Conditioner,240,Yes,Summer,Air Conditioner,Partially,12,Yes,Yes,20,₹ 5.00,Valid
Household,Rural,4,Solar,Yes-Solar panel,4,8,240,2880,Morning,₹ 40.00,"₹ 1,200.00","₹ 14,400.00","Fan, Refrigerator, Kitchen Appliances",2,Refrigerator,130,No,Monsoon,Refrigerator,Yes,9,No,No,10,₹ 5.00,Valid
Household,Urban,4,Energy Grid,Yes-Solar panel,3,8,240,2880,Evening,₹ 40.00,"₹ 1,200.00","₹ 14,400.00","Air Conditioner, Refrigerator, Fan",2,Air Conditioner,150,Yes,Summer,Air Conditioner,Partially,10,No,Yes,15,₹ 5.00,Valid
Household,Semi-Urban,3,Energy Grid,No,0,6,180,2160,Evening,₹ 30.00,₹ 900.00,"₹ 10,800.00","Refrigerator, Fan, Television",1,Refrigerator,100,No,Monsoon,Refrigerator,Yes,8,No,Yes,10,₹ 5.00,Valid
Commercial Buildings,Urban,12,Hybrid,Yes-Solar panel,10,18,540,6480,Afternoon,₹ 90.00,"₹ 2,700.00","₹ 32,400.00","Air Conditioner, Industrial Equipments, Lighting",5,Industrial Equipments,300,Yes,Summer,Industrial Equipments,Partially,12,Yes,Yes,20,₹ 5.00,Valid
Industrial Units,Urban,30,Energy Grid,No,0,20,600,7200,Night,₹ 100.00,"₹ 3,000.00","₹ 36,000.00","Industrial Equipments, Cooler, Lighting",5,Industrial Equipments,300,Yes,Winter,Industrial Equipments,No,16,Yes,Yes,25,₹ 5.00,Valid
Agriculture,Rural,6,Energy Grid,No,0,14,420,5040,Morning,₹ 70.00,"₹ 2,100.00","₹ 25,200.00","Water Pump, Motor, Lighting",3,Water Pump,260,Yes,Summer,Water Pump,No,12,No,No,20,₹ 5.00,Valid
Household,Rural,3,Solar,Yes-Solar panel,2,6,180,2160,Morning,₹ 30.00,₹ 900.00,"₹ 10,800.00","Fan, Refrigerator, Television",1,Refrigerator,100,No,Monsoon,Refrigerator,Yes,8,No,No,10,₹ 5.00,Valid
Agriculture,Rural,7,Energy Grid,No,0,14,420,5040,Morning,₹ 70.00,"₹ 2,100.00","₹ 25,200.00","Water Pump, Motor, Lighting",3,Water Pump,260,Yes,Summer,Water Pump,No,13,No,No,20,₹ 5.00,Valid
Household,Urban,2,Energy Grid,No,0,4,120,1440,Evening,₹ 20.00,₹ 600.00,"₹ 7,200.00","Laptop/Computer, Fan, Television",1,Laptop/Computer,90,No,Monsoon,Laptop/Computer,Yes,6,No,Yes,10,₹ 5.00,Valid
Household,Semi-Urban,6,Hybrid,Yes-Solar panel,3,11,330,3960,Evening,₹ 55.00,"₹ 1,650.00","₹ 19,800.00","Air Conditioner, Fan, Refrigerator",3,Air Conditioner,220,Yes,Summer,Air Conditioner,Partially,13,Yes,Yes,20,₹ 5.00,Valid
Household,Urban,5,Energy Grid,Planning to Use,0,10,300,3600,Evening,₹ 50.00,"₹ 1,500.00","₹ 18,000.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,150,Yes,Summer,Refrigerator,Partially,10,No,Yes,15,₹ 5.00,Valid
Household,Rural,4,Solar,Yes-Solar panel,3,8,240,2880,Morning,₹ 40.00,"₹ 1,200.00","₹ 14,400.00","Fan, Refrigerator, Kitchen Appliances",2,Refrigerator,130,No,Monsoon,Refrigerator,Yes,9,No,No,10,₹ 5.00,Valid
Industrial Units,Urban,30,Energy Grid,No,0,22,660,7920,Night,₹ 110.00,"₹ 3,300.00","₹ 39,600.00","Industrial Equipments, Cooling Systems, Lighting",5,Industrial Equipments,320,Yes,Winter,Industrial Equipments,No,18,Yes,Yes,30,₹ 5.00,Valid
Household,Semi-Urban,7,Energy Grid,No,0,12,360,4320,Evening,₹ 60.00,"₹ 1,800.00","₹ 21,600.00","Air Conditioner, Fan, Television",3,Air Conditioner,240,Yes,Summer,Air Conditioner,No,13,No,Yes,15,₹ 5.00,Valid
Household,Urban,3,Energy Grid,Yes-Solar panel,1,6,180,2160,Evening,₹ 30.00,₹ 900.00,"₹ 10,800.00","Laptop/Computer, Fan, Refrigerator",1,Laptop/Computer,100,No,Monsoon,Laptop/Computer,Yes,7,No,Yes,10,₹ 5.00,Valid
Agriculture,Rural,9,Energy Grid,No,0,16,480,5760,Morning,₹ 80.00,"₹ 2,400.00","₹ 28,800.00","Water Pump, Motor, Lighting",4,Water Pump,300,Yes,Summer,Water Pump,No,14,No,No,25,₹ 5.00,Valid
Household,Semi-Urban,5,Energy Grid,No,0,9,270,3240,Evening,₹ 45.00,"₹ 1,350.00","₹ 16,200.00","Refrigerator, Washing Machine, Fan",2,Refrigerator,140,Yes,Summer,Refrigerator,Partially,10,No,Yes,15,₹ 5.00,Valid
Household,Urban,4,Energy Grid,Yes-Solar panel,3,8,240,2880,Evening,₹ 40.00,"₹ 1,200.00","₹ 14,400.00","Air Conditioner, Fan, Refrigerator",2,Air Conditioner,180,Yes,Summer,Air Conditioner,Partially,10,No,Yes,15,₹ 5.00,Valid
Industrial Units,Urban,28,Energy Grid,No,0,21,630,7560,Night,₹ 105.00,"₹ 3,150.00","₹ 37,800.00","Industrial Equipments, Cooling Systems, Lighting",5,Industrial Equipments,310,Yes,Winter,Industrial Equipments,No,17,Yes,Yes,30,₹ 5.00,Valid
Agriculture,Rural,6,Energy Grid,No,0,13,390,4680,Morning,₹ 65.00,"₹ 1,950.00","₹ 23,400.00","Water Pump, Motor, Lighting",3,Water Pump,250,Yes,Summer,Water Pump,No,12,No,No,20,₹ 5.00,Valid
Household,Urban,6,Energy Grid,No,0,11,330,3960,Evening,₹ 55.00,"₹ 1,650.00","₹ 19,800.00","Air Conditioner, Fan, Refrigerator",3,Air Conditioner,220,Yes,Summer,Air Conditioner,No,13,No,Yes,20,₹ 5.00,Valid
Agriculture,Rural,10,Energy Grid,No,0,15,450,5400,Morning,₹ 75.00,"₹ 2,250.00","₹ 27,000.00","Water Pump, Motor, Lighting",4,Water Pump,280,Yes,Summer,Water Pump,No,14,No,No,25,₹ 5.00,Valid
Household,Rural,4,Solar,Yes-Solar panel,3,7,210,2520,Morning,₹ 35.00,"₹ 1,050.00","₹ 12,600.00","Fan, Refrigerator, Kitchen Appliances",2,Refrigerator,130,No,Monsoon,Refrigerator,Yes,9,No,No,10,₹ 5.00,Valid
Household,Semi-Urban,7,Energy Grid,No,0,12,360,4320,Evening,₹ 60.00,"₹ 1,800.00","₹ 21,600.00","Air Conditioner, Fan, Television",3,Air Conditioner,240,Yes,Summer,Air Conditioner,No,13,No,Yes,15,₹ 5.00,Valid
