user_type,location_type,occupant_count,primary_energy_source,renewable_energy_used,renewable_capacity_kw,peak_usage_time,avg_usage_hours_per_day,power_appliance_count,smart_meter_installed,energy_efficient_usage,optimization_awareness,target_reduction_pct,tariff_reasonability,tariff_reasonability_,daily_energy_kwh,monthly_energy_kwh,monthly_bill_inr,consumption_level,Predicted_Monthly_Energy,Energy_Recommendation,Confidence_Level,Estimated_Cost_Saving_INR
3,2,30,0,0,0,3,18,5,1,0,1,30,3,5,22,660,3300,2,660.8757337,Hybrid (Solar + Grid),High,1155
2,2,2,0,1,0,1,6,1,0,2,1,10,3,5,5,150,750,0,149.8244925,Grid with Solar Backup,Medium,75
2,1,6,2,3,5,1,14,3,1,1,1,20,3,5,12,360,1800,1,360.2462184,Solar Panels,High,450
2,2,5,0,3,3,1,10,2,0,1,1,15,3,5,9,270,1350,1,272.6186772,Grid with Solar Backup,Medium,135
0,0,6,0,0,0,2,12,3,0,0,0,20,3,5,14,420,2100,1,417.6145252,Solar Panels,High,525
2,1,7,0,0,0,1,13,3,0,0,1,15,3,5,11,330,1650,1,334.6234252,Solar Panels,High,412
1,2,18,2,3,10,0,11,4,1,1,1,20,3,5,17,510,2550,2,512.4697523,Hybrid (Solar + Grid),High,892
2,2,3,0,3,1,1,7,1,0,2,1,10,3,5,6,180,900,0,179.865714,Grid with Solar Backup,Medium,90
2,1,5,2,3,3,1,12,3,1,1,1,20,3,5,10,300,1500,1,301.1605855,Solar Panels,High,375
2,0,4,3,3,4,2,9,2,0,2,0,10,3,5,8,240,1200,1,237.6219412,Grid with Solar Backup,Medium,120
2,2,4,0,3,3,1,10,2,0,1,1,15,3,5,8,240,1200,1,242.7708624,Grid with Solar Backup,Medium,120
2,1,5,2,3,5,1,12,3,1,1,1,20,3,5,11,330,1650,1,320.9783176,Solar Panels,High,412
2,0,3,3,3,2,2,7,1,0,2,0,10,3,5,6,180,900,0,180.102122,Grid with Solar Backup,Medium,90
2,2,2,0,1,0,1,6,1,0,2,1,10,3,5,5,150,750,0,149.8244925,Grid with Solar Backup,Medium,75
2,1,6,2,3,5,1,14,3,1,1,1,20,3,5,13,390,1950,1,378.6955298,Solar Panels,High,488
2,0,4,3,3,3,2,8,2,0,2,0,10,3,5,7,210,1050,1,209.384983,Grid with Solar Backup,Medium,105
2,2,5,0,3,3,1,10,2,0,1,1,15,3,5,9,270,1350,1,272.6186772,Grid with Solar Backup,Medium,135
0,0,8,0,0,0,2,13,3,0,0,0,20,3,5,15,450,2250,1,444.9282681,Solar Panels,High,562
2,1,7,0,0,0,1,13,3,0,0,1,15,3,5,12,360,1800,1,360.1443015,Solar Panels,High,450
2,2,3,0,3,1,1,7,1,0,2,1,10,3,5,6,180,900,0,179.865714,Grid with Solar Backup,Medium,90
2,1,5,2,3,3,1,12,3,1,1,1,20,3,5,10,300,1500,1,301.1605855,Solar Panels,High,375
2,0,4,3,3,4,2,9,2,0,2,0,10,3,5,8,240,1200,1,237.6219412,Grid with Solar Backup,Medium,120
2,2,4,0,3,3,1,10,2,0,1,1,15,3,5,8,240,1200,1,242.7708624,Grid with Solar Backup,Medium,120
2,1,3,0,0,0,1,8,1,0,2,1,10,3,5,6,180,900,0,178.4937322,Solar / Wind Energy,Medium,135
1,2,12,2,3,10,0,12,5,1,1,1,20,3,5,18,540,2700,2,530.3347919,Hybrid (Solar + Grid),High,945
3,2,30,0,0,0,3,16,5,1,0,1,25,3,5,20,600,3000,2,631.4512775,Hybrid (Solar + Grid),High,1050
0,0,6,0,0,0,2,12,3,0,0,0,20,3,5,14,420,2100,1,417.6145252,Solar Panels,High,525
2,0,3,3,3,2,2,8,1,0,2,0,10,3,5,6,180,900,0,180.102122,Grid with Solar Backup,Medium,90
0,0,7,0,0,0,2,13,3,0,0,0,20,3,5,14,420,2100,1,418.5645252,Solar Panels,High,525
2,2,2,0,0,0,1,6,1,0,2,1,10,3,5,4,120,600,0,121.3868033,Grid with Solar Backup,Medium,60
2,1,6,2,3,3,1,13,3,1,1,1,20,3,5,11,330,1650,1,331.5749061,Solar Panels,High,412
2,2,5,0,1,0,1,10,2,0,1,1,15,3,5,10,300,1500,1,295.6369531,Grid with Solar Backup,Medium,150
2,0,4,3,3,3,2,9,2,0,2,0,10,3,5,8,240,1200,1,236.9522724,Grid with Solar Backup,Medium,120
3,2,30,0,0,0,3,18,5,1,0,1,30,3,5,22,660,3300,2,660.8757337,Hybrid (Solar + Grid),High,1155
2,1,7,0,0,0,1,13,3,0,0,1,15,3,5,12,360,1800,1,360.1443015,Solar Panels,High,450
2,2,3,0,3,1,1,7,1,0,2,1,10,3,5,6,180,900,0,179.865714,Grid with Solar Backup,Medium,90
0,0,9,0,0,0,2,14,4,0,0,0,25,3,5,16,480,2400,1,472.6592078,Solar Panels,High,600
2,1,5,0,0,0,1,10,2,0,1,1,15,3,5,9,270,1350,1,270.1993449,Solar / Wind Energy,Medium,202
2,2,4,0,3,3,1,10,2,0,1,1,15,3,5,8,240,1200,1,242.7708624,Grid with Solar Backup,Medium,120
3,2,28,0,0,0,3,17,5,1,0,1,30,3,5,21,630,3150,2,633.5207434,Hybrid (Solar + Grid),High,1102
0,0,6,0,0,0,2,12,3,0,0,0,20,3,5,13,390,1950,1,390.1652222,Solar Panels,High,488
2,2,6,0,0,0,1,13,3,0,0,1,20,3,5,11,330,1650,1,335.8125463,Solar Panels,High,412
0,0,10,0,0,0,2,14,4,0,0,0,25,3,5,15,450,2250,1,452.5318736,Solar Panels,High,562
2,0,4,3,3,3,2,9,2,0,2,0,10,3,5,7,210,1050,1,211.4578487,Grid with Solar Backup,Medium,105
2,1,7,0,0,0,1,13,3,0,0,1,15,3,5,12,360,1800,1,360.1443015,Solar Panels,High,450
2,2,2,0,1,0,1,6,1,0,2,1,10,3,5,5,150,750,0,149.8244925,Grid with Solar Backup,Medium,75
2,0,5,3,3,4,2,10,2,0,2,0,10,3,5,8,240,1200,1,244.8944907,Grid with Solar Backup,Medium,120
1,2,21,0,0,0,0,12,4,1,0,1,25,3,5,19,570,2850,2,564.302987,Hybrid (Solar + Grid),High,997
2,1,6,0,0,0,1,11,2,0,1,1,15,3,5,10,300,1500,1,293.040308,Solar / Wind Energy,Medium,225
0,0,8,0,0,0,2,13,3,0,0,0,20,3,5,14,420,2100,1,423.1257278,Solar Panels,High,525
2,2,4,0,3,2,1,8,1,0,2,1,10,3,5,7,210,1050,1,209.3789932,Grid with Solar Backup,Medium,105
2,0,3,3,3,2,2,8,1,0,2,0,10,3,5,6,180,900,0,180.102122,Grid with Solar Backup,Medium,90
3,2,29,0,0,0,3,17,5,1,0,1,30,3,5,21,630,3150,2,633.5207434,Hybrid (Solar + Grid),High,1102
2,1,5,0,0,0,1,10,2,0,1,1,15,3,5,9,270,1350,1,270.1993449,Solar / Wind Energy,Medium,202
0,0,6,0,0,0,2,12,3,0,0,0,20,3,5,13,390,1950,1,390.1652222,Solar Panels,High,488
2,2,3,0,1,0,1,7,1,0,2,1,10,3,5,6,180,900,0,179.598879,Grid with Solar Backup,Medium,90
1,2,17,0,0,0,0,12,4,1,0,1,25,3,5.11,18,540,2760,2,528.0457032,Hybrid (Solar + Grid),High,966
1,2,20,0,0,0,0,12,4,1,0,1,30,3,5.28,18,540,2850,2,539.1248824,Hybrid (Solar + Grid),High,997
1,2,18,0,0,0,0,12,4,1,0,1,30,3,5.29,17,510,2700,2,510.2776519,Hybrid (Solar + Grid),High,945
1,2,18,0,0,0,0,12,4,1,0,1,25,3,5.29,17,510,2700,2,510.2776519,Hybrid (Solar + Grid),High,945
1,1,16,0,0,0,0,12,4,1,0,1,25,3,5.29,17,510,2700,2,509.8167601,Hybrid (Solar + Grid),High,945
1,1,16,0,0,0,0,12,4,1,0,1,25,3,5.29,17,510,2700,2,509.8167601,Hybrid (Solar + Grid),High,945
1,2,14,0,0,0,0,11,4,1,0,1,25,3,5.31,16,480,2550,1,480.7891442,Solar Panels,High,638
1,1,12,2,3,10,0,11,4,1,1,1,20,3,5.31,16,480,2550,1,480.4152203,Solar Panels,High,638
1,1,14,2,3,10,0,11,4,1,1,1,20,3,5.31,16,480,2550,1,480.9152203,Solar Panels,High,638
1,2,12,0,0,0,0,10,4,1,0,1,25,3,5.33,15,450,2400,1,455.0801429,Solar Panels,High,600
1,2,10,2,3,10,0,12,5,1,1,1,20,3,5.4,18,500,2700,1,503.590869,Hybrid (Solar + Grid),High,945
1,2,15,0,0,0,0,12,4,1,0,1,30,4,5.63,16,480,2700,1,481.6513177,Solar Panels,High,675
2,1,6,2,3,5,1,14,3,1,1,1,20,4,5.83,12,360,2100,1,364.4009112,Solar Panels,High,525
3,1,6,0,3,5,3,7,4,1,2,1,25,4,6.94,6,160,1110,0,171.2622237,Solar / Wind Energy,Medium,166
3,0,4,0,3,10,2,6,5,0,0,0,20,4,7.8,8,250,1950,1,247.6720367,Grid with Solar Backup,Medium,195
